"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"207","Nico Collins","HOU","6","WR70","205","240","","196","213.7"
"208","Odell Beckham Jr.","","","WR71","162","332","","200","231.3"
"209","Robbie Gould","SF","9","K12","150","358","","213","240.3"
"210","Van Jefferson","LAR","7","WR72","","157","","207","182.0"
"211","Tyler Higbee","LAR","7","TE24","190","284","","178","217.3"
"212","Hayden Hurst","CIN","10","TE25","166","299","","202","222.3"
"213","Joshua Palmer","LAC","8","WR73","","168","","205","186.5"
"214","Alec Pierce","IND","14","WR74","","193","","185","189.0"
"215","Robbie Anderson","CAR","13","WR75","","174","","209","191.5"
"216","K.J. Osborn","MIN","7","WR76","","190","","193","191.5"
"217","Corey Davis","NYJ","10","WR77","","156","","241","198.5"
"218","Marvin Jones Jr.","JAC","11","WR78","","177","","222","199.5"
"219","Austin Hooper","TEN","6","TE26","212","261","","208","227.0"
"220","Ryan Succop","TB","11","K13","222","178","","","200.0"
"221","Brandon McManus","DEN","9","K14","224","274","","186","228.0"
"222","Tennessee Titans","DST","6","DST16","220","225","","244","229.7"
"223","Chicago Bears","DST","14","DST17","133","386","","","259.5"
"224","Wan'Dale Robinson","NYG","9","WR79","","218","","198","208.0"
"225","Dustin Hopkins","LAC","8","K15","226","191","","","208.5"
"226","Tyrion Davis-Price","SF","9","RB63","","223","","194","208.5"
"227","Jamison Crowder","BUF","7","WR80","","188","","235","211.5"
"228","Hassan Haskins","TEN","6","RB64","","205","","218","211.5"
"229","Greg Joseph","MIN","7","K16","143","283","","","213.0"
"230","Kansas City Chiefs","DST","8","DST18","227","201","","","214.0"
"231","Curtis Samuel","WAS","14","WR81","","196","","233","214.5"
"232","Kenyan Drake","","","RB65","","200","","231","215.5"
"233","Greg Zuerlein","NYJ","10","K17","153","363","","","258.0"
"234","Donovan Peoples-Jones","CLE","9","WR82","","208","","228","218.0"
"235","Cleveland Browns","DST","9","DST19","225","288","","211","241.3"
"236","Philadelphia Eagles","DST","7","DST20","229","350","","212","263.7"
"237","Davis Mills","HOU","6","QB27","","182","","261","221.5"
"238","Jeff Wilson Jr.","SF","9","RB66","","202","","246","224.0"
"239","Daniel Jones","NYG","9","QB28","219","304","","229","250.7"
"240","David Bell","CLE","9","WR83","","227","","223","225.0"
"241","Chris Boswell","PIT","9","K18","171","324","","","247.5"
"242","Logan Thomas","WAS","14","TE27","221","277","","242","246.7"
"243","Chuba Hubbard","CAR","13","RB67","","290","","179","234.5"
"244","Minnesota Vikings","DST","7","DST21","231","231","","","231.0"
"245","KJ Hamler","DEN","9","WR84","","256","","215","235.5"
"246","Atlanta Falcons","DST","14","DST22","","194","","","194.0"
"247","Dontrell Hilliard","TEN","6","RB68","","230","","248","239.0"
"248","Kyle Rudolph","TB","11","TE28","","234","","245","239.5"
"249","D'Ernest Johnson","CLE","9","RB69","","228","","252","240.0"
"250","Cincinnati Bengals","DST","10","DST23","230","251","","","240.5"
"251","Joshua Kelley","LAC","8","RB70","","204","","","204.0"
"252","Cade York","CLE","9","K19","206","317","","","261.5"
"253","Keaontay Ingram","ARI","13","RB71","","249","","240","244.5"
"254","Washington Commanders","DST","14","DST24","207","361","","","284.0"
"255","William Fuller V","","","WR85","","226","","265","245.5"
"256","Mike Davis","BAL","10","RB72","","245","","247","246.0"
"257","Jason Sanders","MIA","11","K20","211","306","","","258.5"
"258","Myles Gaskin","MIA","11","RB73","","212","","","212.0"
"259","Kenny Pickett","PIT","9","QB29","","278","","217","247.5"
"260","Devin Duvernay","BAL","10","WR86","","237","","258","247.5"
"261","Eno Benjamin","ARI","13","RB74","","326","","214","270.0"
"262","Detroit Lions","DST","6","DST25","","216","","","216.0"
"263","Boston Scott","PHI","7","RB75","","244","","254","249.0"
"264","Chris Evans","CIN","10","RB76","","320","","221","270.5"
"265","New York Giants","DST","9","DST26","","222","","","222.0"
"266","Samaje Perine","CIN","10","RB77","","254","","250","252.0"
"267","Jake Elliott","PHI","7","K21","223","381","","","302.0"
"268","Zach Wilson","NYJ","10","QB30","","345","","226","285.5"
"269","Parris Campbell","IND","14","WR87","","330","","227","278.5"
"270","Damien Williams","ATL","14","RB78","","229","","","229.0"
"271","Tyler Badie","BAL","10","RB79","","255","","256","255.5"
"272","Carolina Panthers","DST","13","DST27","","232","","","232.0"
"273","Trey Sermon","SF","9","RB80","","263","","251","257.0"
"274","A.J. Green","ARI","13","WR88","","291","","232","261.5"
"275","Joey Slye","WAS","14","K22","","233","","","233.0"
"276","Laviska Shenault Jr.","JAC","11","WR89","","246","","270","258.0"
"277","New York Jets","DST","10","DST28","","238","","","238.0"
"278","Ameer Abdullah","LV","6","RB81","","239","","","239.0"
"279","Kendrick Bourne","NE","10","WR90","","293","","239","266.0"
"280","Kyren Williams","LAR","7","RB82","","241","","","241.0"
"281","C.J. Uzomah","NYJ","10","TE29","","242","","","242.0"
"282","Matt Breida","NYG","9","RB83","","262","","262","262.0"
"283","Jimmy Garoppolo","SF","9","QB31","","243","","","243.0"
"284","Jonnu Smith","NE","10","TE30","","247","","","247.0"
"285","Tyquan Thornton","NE","10","WR91","","270","","260","265.0"
"286","Brevin Jordan","HOU","6","TE31","","266","","264","265.0"
"287","Jerick McKinnon","KC","8","RB84","","341","","249","295.0"
"288","Jelani Woods","IND","14","TE32","","250","","","250.0"
"289","Terrace Marshall Jr.","CAR","13","WR92","","265","","267","266.0"
"290","Trey McBride","ARI","13","TE33","","276","","257","266.5"
"291","Seattle Seahawks","DST","11","DST29","","252","","","252.0"
"292","Zay Jones","JAC","11","WR93","","356","","253","304.5"
