"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"429","Chris Conley","HOU","6","WR147","","421","","","421.0"
"430","Jordan Love","GB","14","QB47","","422","","","422.0"
"431","Freddie Swain","SEA","11","WR148","","423","","","423.0"
"432","Joe Flacco","NYJ","10","QB48","","424","","","424.0"
"433","Harrison Bryant","CLE","9","TE52","","425","","","425.0"
"434","Pharaoh Brown","HOU","6","TE53","","427","","","427.0"
"435","Geoff Swaim","TEN","6","TE54","","428","","","428.0"
"436","Jonathan Garibay","","","K34","","433","","","433.0"
""
""
